epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,10903.7,1.73066,3.63722,1.54759,1.48939,0.24189,0.29174,0.1807,0.08735,0.05919,0.08467,0.02675,0.00864,1.80665,3.88368,1.70801,1.59234,0.0014852,0.0014852,0.0014852
80,11044.1,1.73013,3.60887,1.53763,1.48935,0.24433,0.28882,0.1861,0.08971,0.04806,0.07928,0.02174,0.00695,1.7944,3.85906,1.69676,1.58069,0.0014786,0.0014786,0.0014786
81,11190.4,1.735,3.63756,1.52732,1.46963,0.26347,0.28947,0.20194,0.09525,0.05227,0.08382,0.02424,0.00787,1.80761,3.8706,1.68003,1.57871,0.001472,0.001472,0.001472
82,11333.5,1.72796,3.60035,1.52482,1.48892,0.22106,0.29368,0.17419,0.08297,0.03516,0.08736,0.0181,0.00604,1.80612,3.85404,1.75491,1.62149,0.0014654,0.0014654,0.0014654
83,11467.1,1.74077,3.65302,1.53771,1.47896,0.26178,0.29154,0.20386,0.09766,0.05984,0.0877,0.02673,0.00837,1.79755,3.83483,1.65954,1.58571,0.0014588,0.0014588,0.0014588
84,11593.1,1.73235,3.60345,1.50983,1.48725,0.27874,0.28686,0.21061,0.09986,0.04515,0.06874,0.01927,0.00601,1.81819,3.91641,1.66644,1.58722,0.0014522,0.0014522,0.0014522
85,11727.3,1.72261,3.60248,1.50071,1.47869,0.25208,0.29014,0.19204,0.09262,0.05508,0.0925,0.02627,0.00877,1.80349,3.86092,1.708,1.57621,0.0014456,0.0014456,0.0014456
86,11858.9,1.7234,3.57477,1.49589,1.47665,0.22669,0.27372,0.16682,0.08026,0.04743,0.10076,0.02481,0.00833,1.80561,3.92486,1.80728,1.6199,0.001439,0.001439,0.001439
87,12005.1,1.70553,3.61774,1.50332,1.48096,0.22041,0.28512,0.1709,0.08083,0.03098,0.07262,0.01504,0.00488,1.79671,3.88061,1.75629,1.59883,0.0014324,0.0014324,0.0014324
88,12146.7,1.72387,3.61446,1.51432,1.49585,0.26969,0.28829,0.2017,0.09534,0.06176,0.08905,0.02818,0.00928,1.81929,3.92355,1.68426,1.58554,0.0014258,0.0014258,0.0014258
89,12286.3,1.71448,3.60042,1.49137,1.47791,0.24977,0.27776,0.18418,0.08775,0.04761,0.0802,0.02183,0.00717,1.81168,3.90401,1.75106,1.59991,0.0014192,0.0014192,0.0014192
90,12424.4,1.69849,3.60463,1.47719,1.46782,0.24473,0.27456,0.1884,0.08927,0.06303,0.08736,0.03011,0.01001,1.80057,3.88716,1.73916,1.558,0.0014126,0.0014126,0.0014126
91,12563.6,1.7053,3.61697,1.49385,1.48223,0.25673,0.29756,0.19839,0.09481,0.05572,0.07919,0.02646,0.00864,1.80033,3.8419,1.67751,1.59695,0.001406,0.001406,0.001406
92,12705,1.72361,3.58372,1.48662,1.47368,0.23867,0.27625,0.17918,0.08545,0.03556,0.08231,0.01747,0.00574,1.80667,3.88904,1.755,1.60513,0.0013994,0.0013994,0.0013994
93,12847.1,1.71475,3.58533,1.49188,1.47897,0.27902,0.30045,0.2179,0.10262,0.0663,0.09031,0.0296,0.00945,1.79502,3.86706,1.63947,1.56398,0.0013928,0.0013928,0.0013928
94,12990.6,1.72442,3.56207,1.46031,1.47238,0.23714,0.28088,0.18404,0.08898,0.06739,0.08467,0.02868,0.00913,1.8058,3.88997,1.71767,1.56258,0.0013862,0.0013862,0.0013862
95,13132.5,1.69381,3.56694,1.44763,1.46021,0.23733,0.28753,0.17634,0.08401,0.05437,0.0818,0.02456,0.00811,1.78562,3.86268,1.74132,1.58302,0.0013796,0.0013796,0.0013796
96,13271,1.68739,3.54312,1.44272,1.46547,0.25572,0.27237,0.19059,0.09059,0.04547,0.08071,0.02091,0.00708,1.80505,3.90048,1.77102,1.61447,0.001373,0.001373,0.001373
97,13404.5,1.6823,3.57362,1.45207,1.45502,0.26127,0.27975,0.19431,0.09246,0.05612,0.08155,0.02585,0.00835,1.80799,3.89617,1.71288,1.55937,0.0013664,0.0013664,0.0013664
98,13542.5,1.70309,3.59282,1.46368,1.46963,0.26291,0.28298,0.19625,0.09338,0.07182,0.09714,0.03181,0.01042,1.80443,3.94215,1.69589,1.60451,0.0013598,0.0013598,0.0013598
99,13678.4,1.69163,3.57553,1.44643,1.47204,0.21535,0.27752,0.16079,0.07771,0.04812,0.07995,0.02247,0.00741,1.79294,3.90076,1.79243,1.59853,0.0013532,0.0013532,0.0013532
100,13810.3,1.68742,3.58337,1.44849,1.45715,0.2654,0.2888,0.20392,0.09705,0.07261,0.09099,0.03202,0.01037,1.79456,3.86989,1.69267,1.57207,0.0013466,0.0013466,0.0013466
